"notageral","notaespecifica"
0,0
0,0
0,0
0,0
0,0
0,0
0,28
0,41
0,34
0,14
0,4
0,14
0,0
0,43
0,0
0,0
0,40
0,0
0,41
0,25
0,0
0,21
0,32
0,32
0,39
0,35
0,14
0,14
0,18
0,35
0,18
0,0
0,0
0,39
2,21
2,41
3,46
4,53
4,20
5,0
6,42
7,30
8,32
8,52
8,35
8,20
8,51
8,7
8,22
8,39
8,21
8,56
8,21
8,21
8,21
8,21
8,21
8,39
8,18
8,33
8,14
8,14
8,59
8,14
8,14
8,28
8,28
8,43
8,28
8,28
8,18
8,49
8,28
8,28
8,28
8,28
8,33
8,54
8,61
8,32
8,46
8,11
8,7
8,18
8,57
8,18
8,11
8,41
8,11
8,50
8,35
8,11
8,48
8,25
8,32
8,25
8,25
8,25
8,11
8,25
8,53
9,28
9,49
9,18
9,18
9,14
9,14
9,14
10,35
10,43
11,29
11,25
11,20
12,14
12,18
12,14
12,11
12,29
12,14
13,28
13,26
13,14
13,12
13,18
14,14
14,21
14,37
14,36
14,4
14,44
14,45
14,7
14,24
14,14
15,39
15,28
15,29
15,29
15,35
15,35
15,35
15,35
15,34
15,35
15,35
15,35
15,35
15,35
15,45
15,14
15,45
15,51
15,14
15,14
15,45
15,44
15,62
15,17
15,14
15,46
15,46
15,18
15,18
15,18
15,18
15,18
15,55
15,37
15,20
15,33
15,48
15,58
15,14
15,46
15,21
15,21
15,21
15,21
15,21
15,21
15,21
15,21
15,21
15,61
15,14
15,22
15,32
15,42
15,42
15,52
15,32
15,32
15,32
15,32
15,43
15,32
15,32
15,32
15,32
15,51
15,64
15,55
15,58
15,25
15,25
15,25
15,25
15,25
15,25
15,44
15,25
15,25
15,25
15,25
15,25
15,25
15,25
15,25
15,44
15,53
15,31
15,26
15,57
15,26
15,53
15,39
15,39
15,39
15,39
15,39
15,39
15,39
15,41
15,35
15,41
15,27
15,50
15,11
15,14
15,47
15,40
15,11
15,28
15,28
15,11
15,28
15,40
15,40
15,28
15,28
15,28
16,21
16,14
16,19
16,49
16,35
16,18
16,34
16,25
17,28
17,11
17,11
18,39
18,18
18,32
18,31
18,28
18,18
18,14
18,54
18,19
18,14
19,21
19,11
19,39
19,25
19,43
19,22
19,42
19,51
19,35
19,32
19,32
19,25
19,14
19,14
19,46
19,21
19,29
19,21
19,27
19,18
19,25
19,28
19,21
19,37
19,25
20,7
20,30
20,12
20,22
20,25
20,52
20,11
20,27
20,25
20,30
20,21
20,69
20,25
20,0
20,21
21,21
21,25
21,50
21,17
21,25
21,11
21,62
21,28
21,28
21,18
21,23
21,35
21,18
21,26
21,19
21,21
21,21
21,40
21,47
21,25
22,28
22,28
22,29
22,32
