index,softwareUnderstanding,understandingConcepts,practiceSM,testSM
0,0,0.0,43.0,9.0
1,0,0.0,10.0,2.0
2,0,0.0,38.0,44.0
3,0,0.0,49.0,49.0
4,0,0.0,7.0,26.0
5,0,0.0,32.0,22.0
6,28,14.0,62.0,32.0
7,41,20.5,64.5,50.5
8,34,17.0,25.0,38.0
9,14,7.0,18.0,41.0
10,4,2.0,35.0,21.0
11,14,7.0,14.0,12.0
12,0,0.0,1.0,7.0
13,43,21.5,43.5,27.5
14,0,0.0,37.0,46.0
15,0,0.0,18.0,5.0
16,40,20.0,43.0,65.0
17,0,0.0,4.0,29.0
18,41,20.5,23.5,33.5
19,25,12.5,27.5,44.5
20,0,0.0,33.0,19.0
21,21,10.5,40.5,43.5
22,32,16.0,34.0,34.0
23,32,16.0,34.0,60.0
24,39,19.5,27.5,21.5
25,35,17.5,23.5,26.5
26,14,7.0,54.0,23.0
27,14,7.0,52.0,31.0
28,18,9.0,21.0,17.0
29,35,17.5,51.5,42.5
30,18,9.0,12.0,35.0
31,0,0.0,50.0,38.0
32,0,0.0,31.0,48.0
33,39,19.5,44.5,51.5
34,21,11.5,33.5,40.5
35,41,21.5,41.5,31.5
36,46,24.5,26.0,26.0
37,53,28.5,53.5,37.5
38,20,12.0,32.0,32.0
39,0,2.5,48.0,27.0
40,42,24.0,67.0,48.0
41,30,18.5,22.0,36.0
42,32,20.0,59.0,45.0
43,52,30.0,27.0,55.0
44,35,21.5,32.5,56.5
45,20,14.0,41.0,39.0
46,51,29.5,26.5,54.5
47,7,7.5,49.5,33.5
48,22,15.0,29.0,23.0
49,39,23.5,31.5,33.5
50,21,14.5,42.5,49.5
51,56,32.0,55.0,52.0
52,21,14.5,19.5,24.5
53,21,14.5,13.5,41.5
54,21,14.5,24.5,53.5
55,21,14.5,57.5,52.5
56,21,14.5,20.5,49.5
57,39,23.5,65.5,63.5
58,18,13.0,26.0,22.0
59,33,20.5,16.5,26.5
60,14,11.0,46.0,12.0
61,14,11.0,52.0,44.0
62,59,33.5,54.5,58.5
63,14,11.0,26.0,34.0
64,14,11.0,38.0,15.0
65,28,18.0,24.0,15.0
66,28,18.0,27.0,42.0
67,43,25.5,26.5,45.5
68,28,18.0,20.0,21.0
69,28,18.0,35.0,62.0
70,18,13.0,58.0,9.0
71,49,28.5,54.5,60.5
72,28,18.0,42.0,56.0
73,28,18.0,39.0,18.0
74,28,18.0,48.0,64.0
75,28,18.0,59.0,40.0
76,33,20.5,17.5,64.5
77,54,31.0,69.0,36.0
78,61,34.5,60.5,63.5
79,32,20.0,29.0,53.0
80,46,27.0,48.0,30.0
81,11,9.5,30.5,27.5
82,7,7.5,38.5,5.5
83,18,13.0,22.0,30.0
84,57,32.5,60.5,64.5
85,18,13.0,28.0,45.0
86,11,9.5,23.5,17.5
87,41,24.5,67.5,48.5
88,11,9.5,26.5,30.5
89,50,29.0,34.0,43.0
90,35,21.5,33.5,20.5
91,11,9.5,19.5,22.5
92,48,28.0,64.0,66.0
93,25,16.5,57.5,56.5
94,32,20.0,16.0,43.0
95,25,16.5,19.5,36.5
96,25,16.5,43.5,46.5
97,25,16.5,13.5,28.5
98,11,9.5,49.5,18.5
