ALGORITHM,PARAM,TIMEEXEC,NCLUSTERS,NCLUSTERS_PREDEF,FILE_OUTPUT,Silhouette_euclidean
DBSCAN,eps=4.0001 min_samples=10,0:00:06.079278,41,NO,DIR: DBSCAN__min_samples10,-0.5727309877387137
DBSCAN,eps=18.7501 min_samples=10,0:01:53.315756,2,NO,DIR: DBSCAN__min_samples10,0.5530351909102222
DBSCAN,eps=19.0001 min_samples=10,0:01:55.539931,2,NO,DIR: DBSCAN__min_samples10,0.5530351909102222
DBSCAN,eps=19.2501 min_samples=10,0:01:57.753792,2,NO,DIR: DBSCAN__min_samples10,0.5530351909102222
DBSCAN,eps=22.0001 min_samples=100,0:01:45.697115,2,NO,DIR: DBSCAN__min_samples100,0.5530351909102222
DBSCAN,eps=22.2501 min_samples=100,0:01:47.895110,2,NO,DIR: DBSCAN__min_samples100,0.5530351909102222
DBSCAN,eps=22.5001 min_samples=100,0:01:50.126037,2,NO,DIR: DBSCAN__min_samples100,0.5530351909102222
DBSCAN,eps=22.7501 min_samples=100,0:01:52.350391,2,NO,DIR: DBSCAN__min_samples100,0.5530351909102222
DBSCAN,eps=23.0001 min_samples=100,0:01:54.629225,2,NO,DIR: DBSCAN__min_samples100,0.5530351909102222
DBSCAN,eps=21.7501 min_samples=100,0:01:43.470230,2,NO,DIR: DBSCAN__min_samples100,0.5530351678409394
DBSCAN,eps=18.5001 min_samples=10,0:01:51.133304,2,NO,DIR: DBSCAN__min_samples10,0.5530351418926416
DBSCAN,eps=18.2501 min_samples=10,0:01:48.972165,2,NO,DIR: DBSCAN__min_samples10,0.5412695183849692
DBSCAN,eps=18.0001 min_samples=10,0:01:46.827793,2,NO,DIR: DBSCAN__min_samples10,0.5412694775442715
OPTICS,,0:00:10.393683,238,NO,DIR: OPTICES,-0.5395041174314374
DBSCAN,eps=4.2501 min_samples=10,0:00:07.617643,83,NO,DIR: DBSCAN__min_samples10,-0.5381401188333645
DBSCAN,eps=21.5001 min_samples=100,0:01:41.264033,2,NO,DIR: DBSCAN__min_samples100,0.5364456307156769
DBSCAN,eps=21.2501 min_samples=100,0:01:39.127334,2,NO,DIR: DBSCAN__min_samples100,0.5364455730778486
DBSCAN,eps=23.5001 min_samples=100,0:01:59.188472,2,NO,DIR: DBSCAN__min_samples100,0.5355308449604266
DBSCAN,eps=23.7501 min_samples=100,0:02:01.490915,2,NO,DIR: DBSCAN__min_samples100,0.5355308449604266
DBSCAN,eps=24.0001 min_samples=100,0:02:03.810946,2,NO,DIR: DBSCAN__min_samples100,0.5355308449604266
DBSCAN,eps=23.2501 min_samples=100,0:01:56.922748,2,NO,DIR: DBSCAN__min_samples100,0.5355308320531356
DBSCAN,eps=20.7501 min_samples=100,0:01:34.859977,2,NO,DIR: DBSCAN__min_samples100,0.5274255797942802
DBSCAN,eps=17.7501 min_samples=10,0:01:44.690606,2,NO,DIR: DBSCAN__min_samples10,0.5237408487934578
DBSCAN,eps=17.5001 min_samples=10,0:01:42.570091,2,NO,DIR: DBSCAN__min_samples10,0.5237407687845853
DBSCAN,eps=20.5001 min_samples=100,0:01:32.771423,2,NO,DIR: DBSCAN__min_samples100,0.5226347574639227
DBSCAN,eps=21.0001 min_samples=100,0:01:37.007368,2,NO,DIR: DBSCAN__min_samples100,0.5199208756517869
DBSCAN,eps=20.2501 min_samples=100,0:01:30.670843,2,NO,DIR: DBSCAN__min_samples100,0.5199030550626585
DBSCAN,eps=20.0001 min_samples=100,0:01:28.604526,2,NO,DIR: DBSCAN__min_samples100,0.5199029264927659
DBSCAN,eps=17.2501 min_samples=10,0:01:40.458445,2,NO,DIR: DBSCAN__min_samples10,0.5103368584940249
DBSCAN,eps=17.0001 min_samples=10,0:01:38.365712,2,NO,DIR: DBSCAN__min_samples10,0.5103368047763979
DBSCAN,eps=3.7500999999999998 min_samples=10,0:00:04.542073,11,NO,DIR: DBSCAN__min_samples10,-0.5103261208956029
DBSCAN,eps=16.7501 min_samples=10,0:01:36.285151,2,NO,DIR: DBSCAN__min_samples10,0.5036148022228193
DBSCAN,eps=16.5001 min_samples=10,0:01:34.218093,2,NO,DIR: DBSCAN__min_samples10,0.5036147633314402
DBSCAN,eps=19.7501 min_samples=10,0:02:02.448668,2,NO,DIR: DBSCAN__min_samples10,0.5002052915402083
DBSCAN,eps=20.0001 min_samples=10,0:02:05.494951,2,NO,DIR: DBSCAN__min_samples10,0.5002052915402083
DBSCAN,eps=20.2501 min_samples=10,0:02:07.778412,2,NO,DIR: DBSCAN__min_samples10,0.5002052915402083
DBSCAN,eps=19.5001 min_samples=10,0:02:00.010611,2,NO,DIR: DBSCAN__min_samples10,0.500205278942511
DBSCAN,eps=18.7501 min_samples=100,0:01:17.686751,2,NO,DIR: DBSCAN__min_samples100,0.49844142171179423
DBSCAN,eps=19.2501 min_samples=100,0:01:21.706965,2,NO,DIR: DBSCAN__min_samples100,0.4958735448920149
DBSCAN,eps=19.5001 min_samples=100,0:01:24.454037,2,NO,DIR: DBSCAN__min_samples100,0.4958735448920149
DBSCAN,eps=19.7501 min_samples=100,0:01:26.511280,2,NO,DIR: DBSCAN__min_samples100,0.4958735448920149
DBSCAN,eps=19.0001 min_samples=100,0:01:19.693919,2,NO,DIR: DBSCAN__min_samples100,0.4958734559204225
DBSCAN,eps=18.5001 min_samples=100,0:01:15.715454,2,NO,DIR: DBSCAN__min_samples100,0.4900329541056102
DBSCAN,eps=16.2501 min_samples=10,0:01:32.167859,2,NO,DIR: DBSCAN__min_samples10,0.48865686078557197
DBSCAN,eps=15.5001 min_samples=10,0:01:26.142475,2,NO,DIR: DBSCAN__min_samples10,0.48704479487771063
DBSCAN,eps=15.0001 min_samples=10,0:01:22.181309,2,NO,DIR: DBSCAN__min_samples10,0.4770860681736806
